url,name,description,rating,reviews,category,unknown1,location,image_url,service_option1,service_option2
https://www.google.com/maps/place/%E0%B8%98%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%9A%E0%B8%B0%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%A7%E0%B8%9B%E0%B8%B9/data=!4m7!3m6!1s0x313c399c7912b0fd:0xe2db73d441d4a501!8m2!3d16.9445922!4d104.7268801!16s%2Fg%2F11sm9yt34p!19sChIJ_bASeZw5PDERAaXUQdRz2-I?authuser=0&hl=en&rclk=1,ธนพรบะหมี่เกี๊ยวปู,,,Chinese,·,WPVG+GV5,,Dine-in,·,Takeaway
https://www.google.com/maps/place/A-List+Coffee%26Tea+Cheese/data=!4m7!3m6!1s0x313c396d4684153d:0xee04e58a0048b18b!8m2!3d16.9456223!4d104.7209062!16s%2Fg%2F11hzqg6hr0!19sChIJPRWERm05PDERi7FIAIrlBO4?authuser=0&hl=en&rclk=1,A-List Coffee&Tea Cheese,4.7,(56),Restaurant,·,2030,https://lh5.googleusercontent.com/p/AF1QipNvLZiPFaNieZlaVmuN6TUW6nGSKoPyExgfnwBy=w163-h92-k-no,Dine-in,·,Takeaway
"https://www.google.com/maps/place/Solae+Restaurant,+That+Phanom+Town:+Thai+food,+Thai+beer,+%26+Thai+live+music+!/data=!4m7!3m6!1s0x313c39dde96c1bd3:0x288acf5d04be827e!8m2!3d16.946194!4d104.727758!16s%2Fg%2F11crzg5vmf!19sChIJ0xts6d05PDERfoK-BF3Piig?authuser=0&hl=en&rclk=1","Solae Restaurant, That Phanom Town: Thai food, Thai beer, & Thai live music !",4.3,(127),Restaurant,·,55 ม.2,https://lh5.googleusercontent.com/p/AF1QipNQ64rnHlZ-57hgbfzk9nJxImi1lltxMrJfBzad=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%9A%E0%B8%B6%E0%B8%87/data=!4m7!3m6!1s0x313c395bda820c21:0xbf880c98189e21f3!8m2!3d16.9456709!4d104.7275192!16s%2Fg%2F11fd4k_j15!19sChIJIQyC2ls5PDER8yGeGJgMiL8?authuser=0&hl=en&rclk=1,ร้านข้าวแกงริมบึง,4.8,(11),Restaurant,·,Unnamed Road,https://lh5.googleusercontent.com/p/AF1QipPeuk4Serl9C8mCsY3PsyL0DUpuSgbYUphATZq9=w80-h106-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B8%98%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%9A%E0%B8%B0%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%A7%E0%B8%9B%E0%B8%B9/data=!4m7!3m6!1s0x313c399c7912b0fd:0xe2db73d441d4a501!8m2!3d16.9445922!4d104.7268801!16s%2Fg%2F11sm9yt34p!19sChIJ_bASeZw5PDERAaXUQdRz2-I?authuser=0&hl=en&rclk=1,ธนพรบะหมี่เกี๊ยวปู,,,Chinese,·,WPVG+GV5,https://lh5.googleusercontent.com/p/AF1QipPoqhxJezhtZYTzD5BIa2M-CQ2aFba5N0FQgVq5=w163-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/Mong+L%E0%B8%A5%E0%B8%A2%E0%B9%8C/data=!4m7!3m6!1s0x313c3929016d96cf:0x11c52da3c331f875!8m2!3d16.9475694!4d104.729596!16s%2Fg%2F11tjl519d5!19sChIJz5ZtASk5PDERdfgxw6MtxRE?authuser=0&hl=en&rclk=1,Mong Lลย์,4.5,(2),Buffet,·,WPXH+2VC,https://lh5.googleusercontent.com/p/AF1QipMH20oTPnRLbjeqCJTSR6w8Fl9hR6DpvHa3k4f_=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%88+%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m7!3m6!1s0x313c397b7b20dbbb:0x61799fc84feecf34!8m2!3d16.9422839!4d104.7279809!16s%2Fg%2F11jssv53dw!19sChIJu9sge3s5PDERNM_uT8ifeWE?authuser=0&hl=en&rclk=1,ร้านอาหารเจ ธาตุพนม,5.0,(2),Restaurant,·,215 ม.1 ถนน พนมพนารักษ์,https://lh5.googleusercontent.com/p/AF1QipOPY6i7KA-YPVWj103RER8XiZO-_pPG6fe5v_Y8=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B8%B8%E0%B9%8A%E0%B8%94%E0%B8%95%E0%B8%B9%E0%B9%88+%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m7!3m6!1s0x313c377c89f67f5b:0x2f0ac0f48d26c85f!8m2!3d16.9349144!4d104.7142474!16s%2Fg%2F11f2xmj6gk!19sChIJW3_2iXw3PDERX8gmjfTACi8?authuser=0&hl=en&rclk=1,ครัวตุ๊ดตู่ ธาตุพนม,4.2,(35),Restaurant,·,WPM7+XM9,https://lh5.googleusercontent.com/p/AF1QipP--la89zVHNxOBNwMxAxS6CTmkrnJrzBJOY7XP=w122-h92-k-no,Dine-in,·,Takeaway
"https://www.google.com/maps/place/Vika+Shop,+Vipha+Restaurant+for+Famous+Pad.Thai/data=!4m7!3m6!1s0x313c39de305cff67:0xfc92ec45dad664a9!8m2!3d16.9421324!4d104.7278592!16s%2Fg%2F11ggs27ght!19sChIJZ_9cMN45PDERqWTW2kXskvw?authuser=0&hl=en&rclk=1","Vika Shop, Vipha Restaurant for Famous Pad.Thai",4.9,(353),Restaurant,·,40 หมู่ 1 ถนน พนมพนารักษ์,https://lh5.googleusercontent.com/p/AF1QipNvtTcdWbR2Wb9LVFKinZWZbwH62DalThowyYGk=w80-h106-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/D+DAY+BAR/data=!4m7!3m6!1s0x313c39335179612b:0x7ac38bd32c284324!8m2!3d16.9518466!4d104.7228034!16s%2Fg%2F11mn0g1_vh!19sChIJK2F5UTM5PDERJEMoLNOLw3o?authuser=0&hl=en&rclk=1,D DAY BAR,5.0,(1),Restaurant,·,เลขที่ 288,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDwwBuhrN_RJyjZDA6APHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=104.6895&pitch=0&thumbfov=100,Dine-in,·,Takeaway
