name,description,location,latitude,longitude,category,service_option1,service_option2
The terminal,4.3,https://lh5.googleusercontent.com/p/AF1QipNpALfbaqBLqJ4JYaJwWOkfRvEHWsdm-CrA6Yvn=w138-h92-k-no,16.9475899,104.7251401,·,·,Takeaway
ร้านส้มตำคักแฮงและร้านขนมจีนน้องชูใจ,5.0,https://lh5.googleusercontent.com/p/AF1QipM_1JOfmn-qr6umrEI6ndi_Vh9d9aUYqhCskG8S=w122-h92-k-no,16.9223725,104.6806599,·,·,Kerbside pickup
จ้วดจ้าด คันทรี่เรสเตอรอง,4.6,https://lh5.googleusercontent.com/p/AF1QipNtj5FcAPQr3ddZDmPVrVNbXGaW9IqZelgTJVho=w122-h92-k-no,16.9377085,104.6937678,·,·,Drive-through
แพสองพี่น้อง ล่องแพบ้านฝั่งแดง,5.0,https://lh5.googleusercontent.com/p/AF1QipMVw_5oHWyWRqln76Ng5OQrjxBgxydc0DnfXA9_=w122-h92-k-no,16.9391085,104.6737284,·,·,No delivery
ข้าวเปียกเส้นแม่นิด,4.7,https://lh5.googleusercontent.com/p/AF1QipMJYG6sDVPgJt5tVAG5-v85619SwLJLXR_HBOL6=w80-h106-k-no,16.935258,104.721278,·,·,Takeaway
"ล่องแพกัณ,กุล @ดงคราม",4.4,https://lh5.googleusercontent.com/p/AF1QipM5EUN7X4NQt9ePIgNcJ9iqBnxiQpigdCLefprm=w122-h92-k-no,16.9386187,104.6859554,·,·,Takeaway
That Phanom Phochana,4.2,https://lh5.googleusercontent.com/p/AF1QipPHb1nFgAHL-B065Yxxe8olRLIscC1ZjMaoE7Sp=w122-h92-k-no,16.9430848,104.7277924,·,·,Takeaway
เอื้องคำ,3.7,https://lh5.googleusercontent.com/p/AF1QipPqYuWlp9F3lSf2hytZPyY8ReuOjgSaoGS1bglY=w153-h92-k-no,16.9446735,104.7293548,·,·,Takeaway
ก๋วยเตี๋ยวกลางซอย ธาตุพนม,4.4,https://lh5.googleusercontent.com/p/AF1QipOqooIQ9shMbAbHuZ5lR_YEL6RWt-XIRi4zMHJC=w80-h106-k-no,16.9551988,104.727916,·,·,Takeaway
N&A KEBAB สาขา ธาตุพนม,,https://lh5.googleusercontent.com/p/AF1QipOMmA93In7RjJ9dzXVq_ndbR_sLIEBMIATEtphs=w80-h106-k-no,16.9443331,104.7256726,·,·,Kerbside pickup
ข้าวเปียกน้ำ,5.0,https://lh5.googleusercontent.com/p/AF1QipNAHuU5_gJszhxnfvQZjl0AGBYGlTPuP6OphZlV=w80-h92-k-no,16.9469043,104.729602,·,·,Kerbside pickup
อินดี้ คาเฟ่ (Indie Cafe'),4.4,https://lh5.googleusercontent.com/p/AF1QipMvudoD0GLt4lnN9f8Cq2gi0L_rHh_fk4rj_V8o=w122-h92-k-no,16.9392169,104.7243622,·,·,Takeaway
ร้าน โกออร์ไนท์,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vmz0ZEEqhPjgqkIqgPjStQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=112.14815&pitch=0&thumbfov=100,16.9519169,104.7252092,·,·,Takeaway
ข้าวเปียกดิ่งด่อง,5.0,https://lh5.googleusercontent.com/p/AF1QipOlCa1h6FoHIoTtN-LSDwkBddzTEOan7adP3Ir6=w80-h106-k-no,16.9411611,104.7282125,·,·,Takeaway
นานากลางทุ่ง,4.8,https://lh5.googleusercontent.com/p/AF1QipNk-_ez0aqX7VVdkrRsr4ZYAOSZCgwHDqjTv5Fv=w122-h92-k-no,16.9207398,104.6932523,·,·,Takeaway
